type,rule_id,text,confidence_pct,company_id
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,HEROMOTOCO
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,HEROMOTOCO
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,HEROMOTOCO
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HEROMOTOCO
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HEROMOTOCO
con,CR05,Revenue growth below 5% over five years indicates limited business momentum.,85,HEROMOTOCO
con,CR12,"Long-term revenue growth remains below 5%, indicating limited business expansion.",80,HEROMOTOCO
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HEROMOTOCO
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HEROMOTOCO
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,HDFCLIFE
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,HDFCLIFE
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HDFCLIFE
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HDFCLIFE
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,HDFCLIFE
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,HDFCLIFE
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HDFCLIFE
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HDFCLIFE
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,SHRIRAMFIN
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,SHRIRAMFIN
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,SHRIRAMFIN
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,SHRIRAMFIN
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,SHRIRAMFIN
con,CR01,Debt-to-equity ratio of 3.99 is elevated and warrants monitoring.,95,SHRIRAMFIN
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,SHRIRAMFIN
con,CR06,Interest coverage below 1.5x indicates elevated debt servicing risk.,95,SHRIRAMFIN
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,SHRIRAMFIN
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,SHRIRAMFIN
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,HAL
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,HAL
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,HAL
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,HAL
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HAL
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HAL
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,HAL
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,HAL
con,CR08,"Debt-to-equity ratio has increased for three consecutive years, indicating rising leverage risk.",90,HAL
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HAL
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HAL
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,HAVELLS
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HAVELLS
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HAVELLS
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HAVELLS
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HAVELLS
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,DIVISLAB
pro,PR03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95,DIVISLAB
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,DIVISLAB
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,DIVISLAB
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,DIVISLAB
con,CR09,"Earnings per share have declined for three consecutive years, indicating weakening profitability.",90,DIVISLAB
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,DIVISLAB
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,DIVISLAB
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,TATACONSUM
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,TATACONSUM
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,TATACONSUM
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,TATACONSUM
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,TATACONSUM
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,TATACONSUM
con,CR08,"Debt-to-equity ratio has increased for three consecutive years, indicating rising leverage risk.",90,TATACONSUM
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,TATACONSUM
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,TATACONSUM
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,DABUR
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,DABUR
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,DABUR
con,CR08,"Debt-to-equity ratio has increased for three consecutive years, indicating rising leverage risk.",90,DABUR
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,DABUR
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,DABUR
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,GAIL
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,GAIL
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,GAIL
con,CR08,"Debt-to-equity ratio has increased for three consecutive years, indicating rising leverage risk.",90,GAIL
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,GAIL
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,GAIL
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,EICHERMOT
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,EICHERMOT
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,EICHERMOT
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,EICHERMOT
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,EICHERMOT
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,EICHERMOT
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,EICHERMOT
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,EICHERMOT
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,HINDALCO
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,HINDALCO
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HINDALCO
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,HINDALCO
pro,PR12,Growing asset base funded with declining borrowings reflects self-sustaining growth.,85,HINDALCO
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HINDALCO
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HINDALCO
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,SIEMENS
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,SIEMENS
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,SIEMENS
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,SIEMENS
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,SIEMENS
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,SIEMENS
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,INFY
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,INFY
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,INFY
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,INFY
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,INFY
pro,PR03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95,SBILIFE
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,SBILIFE
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,SBILIFE
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,SBILIFE
con,CR03,Operating margins are weak and may indicate pricing or cost pressure.,85,SBILIFE
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,SBILIFE
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,SBILIFE
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,INDUSINDBK
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,INDUSINDBK
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,INDUSINDBK
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,INDUSINDBK
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,INDUSINDBK
con,CR01,Debt-to-equity ratio of 6.89 is elevated and warrants monitoring.,95,INDUSINDBK
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,INDUSINDBK
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,INDUSINDBK
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,INDUSINDBK
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,INDUSINDBK
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,RELIANCE
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,RELIANCE
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,RELIANCE
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,RELIANCE
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,RELIANCE
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,HCLTECH
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,HCLTECH
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,HCLTECH
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,HCLTECH
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,HCLTECH
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,HCLTECH
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,IOC
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,IOC
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,IOC
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,IOC
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,IOC
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,IOC
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,IOC
con,CR03,Operating margins are weak and may indicate pricing or cost pressure.,85,IOC
con,CR12,"Long-term revenue growth remains below 5%, indicating limited business expansion.",80,IOC
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,IOC
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,IOC
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,SHREECEM
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,SHREECEM
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,SHREECEM
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,SHREECEM
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,SHREECEM
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,GRASIM
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,GRASIM
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,GRASIM
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,GRASIM
con,CR08,"Debt-to-equity ratio has increased for three consecutive years, indicating rising leverage risk.",90,GRASIM
con,CR09,"Earnings per share have declined for three consecutive years, indicating weakening profitability.",90,GRASIM
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,GRASIM
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,GRASIM
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,GRASIM
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,SBIN
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,SBIN
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,SBIN
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,SBIN
con,CR03,Operating margins are weak and may indicate pricing or cost pressure.,85,SBIN
con,CR06,Interest coverage below 1.5x indicates elevated debt servicing risk.,95,SBIN
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,SBIN
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,SBIN
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,SBIN
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,NTPC
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,NTPC
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,NTPC
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,NTPC
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,NTPC
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,ADANIPORTS
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,ADANIPORTS
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,ADANIPORTS
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,ADANIPORTS
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,ADANIPORTS
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,NHPC
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,NHPC
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,NHPC
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,NHPC
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,NHPC
con,CR05,Revenue growth below 5% over five years indicates limited business momentum.,85,NHPC
con,CR08,"Debt-to-equity ratio has increased for three consecutive years, indicating rising leverage risk.",90,NHPC
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,NHPC
con,CR12,"Long-term revenue growth remains below 5%, indicating limited business expansion.",80,NHPC
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,NHPC
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,NHPC
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,TRENT
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,TRENT
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,TRENT
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,TRENT
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,TRENT
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,TRENT
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,TRENT
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,TRENT
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,ADANIENSOL
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,ADANIENSOL
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,ADANIENSOL
con,CR01,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring.,95,ADANIENSOL
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,ADANIENSOL
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,ADANIENSOL
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,ADANIENSOL
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,ADANIENT
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,ADANIENT
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,ADANIENT
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,ADANIENT
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,ADANIENT
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,ADANIENT
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,ADANIENT
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,ADANIGREEN
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,ADANIGREEN
con,CR01,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,95,ADANIGREEN
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,ADANIGREEN
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,ADANIGREEN
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,ADANIGREEN
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,ICICIBANK
pro,PR04,Revenue growing above 15% CAGR over five years reflects strong business momentum.,90,ICICIBANK
pro,PR05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90,ICICIBANK
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,ICICIBANK
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,ICICIBANK
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,ICICIBANK
con,CR01,Debt-to-equity ratio of 6.45 is elevated and warrants monitoring.,95,ICICIBANK
con,CR06,Interest coverage below 1.5x indicates elevated debt servicing risk.,95,ICICIBANK
con,CR10,Return on capital employed below 10% suggests weak capital efficiency.,90,ICICIBANK
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,ICICIBANK
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,ICICIBANK
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,TVSMOTOR
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,TVSMOTOR
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,TVSMOTOR
con,CR01,Debt-to-equity ratio of 3.83 is elevated and warrants monitoring.,95,TVSMOTOR
con,CR02,Negative free cash flow raises concerns about cash generation quality.,90,TVSMOTOR
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,TVSMOTOR
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,TVSMOTOR
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,ONGC
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,ONGC
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,ONGC
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,ONGC
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,ONGC
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,ONGC
pro,PR01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95,ABB
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,ABB
pro,PR06,Net profit compounding above 20% over five years creates significant shareholder value.,90,ABB
pro,PR07,Very high interest coverage reflects negligible financial stress from debt servicing.,90,ABB
pro,PR08,Healthy dividend payout reflects management's commitment to shareholder returns.,75,ABB
pro,PR09,EPS growing above 15% CAGR indicates strong earnings quality and long-term compounding.,90,ABB
pro,PR11,Profit growing faster than revenue indicates improving operating leverage and scale benefits.,85,ABB
pro,PR12,Growing asset base funded with declining borrowings reflects self-sustaining growth.,85,ABB
pro,PR99,Business has stable operations despite not triggering major quantitative strengths.,50,ABB
con,CR99,"Monitor valuation, competition, and future growth expectations despite strong fundamentals.",50,ABB
pro,PR02,Strong free cash flow generation indicates healthy business fundamentals.,90,ICICIGI
